product_key,product_name,product_subcategory,product_category,StandardCost,Color,SafetyStockLevel,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,ModelName,Description,Status,sell_start_date,sell_end_date
471,"Classic Vest, S",Vests,Clothing,23.749,Blue,4,63.5,,S,,0,S,38.1,,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current,2018-01-07,
472,"Classic Vest, M",Vests,Clothing,23.749,Blue,4,63.5,,M,,0,S,38.1,,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current,2018-01-07,
473,"Classic Vest, L",Vests,Clothing,23.749,Blue,4,63.5,,L,,0,S,38.1,,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",Current,2018-01-07,
555,Front Brakes,Brakes,Components,47.286,Silver,500,106.5,,NA,317.0,1,,63.9,,Front Brakes,All-weather brake pads; provides superior stopping by applying more surface to the rim.,Current,2018-01-07,
514,Rear Brakes,Brakes,Components,47.286,Silver,500,106.5,,NA,317.0,1,,63.9,,Rear Brakes,,Current,2018-01-07,
559,Chain,Chains,Components,8.9866,Silver,500,20.24,,NA,,1,,12.144,,Chain,Superior shifting performance.,Current,2018-01-07,
462,"Half-Finger Gloves, S",Gloves,Clothing,9.7136,Black,4,23.5481,,S,,0,S,14.1289,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",,2017-01-07,2018-06-30
466,"Half-Finger Gloves, L",Gloves,Clothing,9.7136,Black,4,23.5481,,L,,0,S,14.1289,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",,2017-01-07,2018-06-30
464,"Half-Finger Gloves, M",Gloves,Clothing,9.7136,Black,4,23.5481,,M,,0,S,14.1289,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",,2017-01-07,2018-06-30
468,"Full-Finger Gloves, S",Gloves,Clothing,15.6709,Black,4,37.99,,S,,0,M,22.794,,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",,2017-01-07,2018-06-30
469,"Full-Finger Gloves, M",Gloves,Clothing,15.6709,Black,4,37.99,,M,,0,M,22.794,,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",,2017-01-07,2018-06-30
470,"Full-Finger Gloves, L",Gloves,Clothing,15.6709,Black,4,37.99,,L,,0,M,22.794,,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",,2017-01-07,2018-06-30
463,"Half-Finger Gloves, S",Gloves,Clothing,9.1593,Black,4,24.49,,S,,0,S,14.694,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Current,2018-01-07,
467,"Half-Finger Gloves, L",Gloves,Clothing,9.1593,Black,4,24.49,,L,,0,S,14.694,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Current,2018-01-07,
465,"Half-Finger Gloves, M",Gloves,Clothing,9.1593,Black,4,24.49,,M,,0,S,14.694,,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",Current,2018-01-07,
451,Headlights - Dual-Beam,Lights,Accessories,14.4334,NA,4,34.99,,NA,,0,R,20.994,,Headlights - Dual-Beam,Rechargeable dual-beam headlight.,,2017-01-07,2018-06-30
452,Headlights - Weatherproof,Lights,Accessories,18.5584,NA,4,44.99,,NA,,0,R,26.994,,Headlights - Weatherproof,Rugged weatherproof headlight.,,2017-01-07,2018-06-30
450,Taillights - Battery-Powered,Lights,Accessories,5.7709,NA,4,13.99,,NA,,0,R,8.394,,Taillight,Affordable light for safe night riding - uses 3 AAA batteries,,2017-01-07,2018-06-30
545,LL Road Pedal,Pedals,Components,17.9776,Silver/Black,500,40.49,,NA,189.0,1,R,24.294,L,LL Road Pedal,Clipless pedals - aluminum.,Current,2018-01-07,
542,LL Mountain Pedal,Pedals,Components,17.9776,Silver/Black,500,40.49,,NA,218.0,1,M,24.294,L,LL Mountain Pedal,Expanded platform so you can ride in any shoes; great for all-around riding.,Current,2018-01-07,
548,Touring Pedal,Pedals,Components,35.9596,Silver/Black,500,80.99,,NA,,1,T,48.594,,Touring Pedal,A stable pedal for all-day riding.,Current,2018-01-07,
544,HL Mountain Pedal,Pedals,Components,35.9596,Silver/Black,500,80.99,,NA,185.0,1,M,48.594,H,HL Mountain Pedal,Stainless steel; designed to shed mud easily.,Current,2018-01-07,
547,HL Road Pedal,Pedals,Components,35.9596,Silver/Black,500,80.99,,NA,149.0,1,R,48.594,H,HL Road Pedal,Top-of-the-line clipless pedals with adjustable tension.,Current,2018-01-07,
546,ML Road Pedal,Pedals,Components,27.568,Silver/Black,500,62.09,,NA,168.0,1,R,37.254,M,ML Road Pedal,Lightweight aluminum alloy construction.,Current,2018-01-07,
543,ML Mountain Pedal,Pedals,Components,27.568,Silver/Black,500,62.09,,NA,215.0,1,M,37.254,M,ML Mountain Pedal,"Lightweight, durable, clipless pedal with adjustable tension.",Current,2018-01-07,
454,"Men's Sports Shorts, L",Shorts,Clothing,24.7459,Black,4,59.99,,L,,0,S,35.994,,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,,2017-01-07,2018-06-30
445,"Men's Sports Shorts, S",Shorts,Clothing,24.7459,Black,4,59.99,,S,,0,S,35.994,,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,,2017-01-07,2018-06-30
453,"Men's Sports Shorts, M",Shorts,Clothing,24.7459,Black,4,59.99,,M,,0,S,35.994,,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,,2017-01-07,2018-06-30
455,"Men's Sports Shorts, XL",Shorts,Clothing,24.7459,Black,4,59.99,,XL,,0,S,35.994,,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,,2017-01-07,2018-06-30
474,"Women's Mountain Shorts, S",Shorts,Clothing,26.1763,Black,4,69.99,,S,,0,M,41.994,,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current,2018-01-07,
475,"Women's Mountain Shorts, M",Shorts,Clothing,26.1763,Black,4,69.99,,M,,0,M,41.994,,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current,2018-01-07,
476,"Women's Mountain Shorts, L",Shorts,Clothing,26.1763,Black,4,69.99,,L,,0,M,41.994,,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",Current,2018-01-07,
456,"Women's Tights, S",Tights,Clothing,30.9334,Black,4,74.99,,S,,0,S,44.994,,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,,2017-01-07,2018-06-30
458,"Women's Tights, L",Tights,Clothing,30.9334,Black,4,74.99,,L,,0,S,44.994,,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,,2017-01-07,2018-06-30
457,"Women's Tights, M",Tights,Clothing,30.9334,Black,4,74.99,,M,,0,S,44.994,,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,,2017-01-07,2018-06-30
424,HL Road Rear Wheel,Wheels,Components,158.5346,Black,500,357.06,,NA,890.0,1,R,214.236,H,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,,2017-01-07,2018-06-30
415,HL Road Front Wheel,Wheels,Components,146.5466,Black,500,330.06,,NA,650.0,1,R,198.036,H,HL Road Front Wheel,Strong wheel with double-walled rim.,,2017-01-07,2018-06-30
421,HL Mountain Rear Wheel,Wheels,Components,145.2835,Black,500,327.215,,NA,,1,M,196.329,H,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,,2017-01-07,2018-06-30
412,HL Mountain Front Wheel,Wheels,Components,133.2955,Black,500,300.215,,NA,,1,M,180.129,H,HL Mountain Front Wheel,High-performance mountain replacement wheel.,,2017-01-07,2018-06-30
419,LL Mountain Rear Wheel,Wheels,Components,38.9588,Black,500,87.745,,NA,,1,M,52.647,L,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,,2017-01-07,2018-06-30
422,LL Road Rear Wheel,Wheels,Components,49.9789,Black,500,112.565,,NA,1050.0,1,R,67.539,L,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,,2017-01-07,2018-06-30
423,ML Road Rear Wheel,Wheels,Components,122.2709,Black,500,275.385,,NA,1000.0,1,R,165.231,M,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,,2017-01-07,2018-06-30
413,LL Road Front Wheel,Wheels,Components,37.9909,Black,500,85.565,,NA,900.0,1,R,51.339,L,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,,2017-01-07,2018-06-30
410,LL Mountain Front Wheel,Wheels,Components,26.9708,Black,500,60.745,,NA,,1,M,36.447,L,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,,2017-01-07,2018-06-30
414,ML Road Front Wheel,Wheels,Components,110.2829,Black,500,248.385,,NA,850.0,1,R,149.031,M,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,,2017-01-07,2018-06-30
416,Touring Front Wheel,Wheels,Components,96.7964,Black,500,218.01,,NA,,1,T,130.806,,Touring Front Wheel,Aerodynamic rims for smooth riding.,,2017-01-07,2018-06-30
425,Touring Rear Wheel,Wheels,Components,108.7844,Black,500,245.01,,NA,,1,T,147.006,,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,,2017-01-07,2018-06-30
411,ML Mountain Front Wheel,Wheels,Components,92.8071,Black,500,209.025,,NA,,1,M,125.415,M,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,,2017-01-07,2018-06-30
420,ML Mountain Rear Wheel,Wheels,Components,104.7951,Black,500,236.025,,NA,,1,M,141.615,M,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,,2017-01-07,2018-06-30
485,Fender Set - Mountain,Fenders,Accessories,8.2205,NA,4,21.98,,NA,,0,M,13.188,,Fender Set - Mountain,Clip-on fenders fit most mountain bikes.,Current,2018-01-07,
214,"Sport-100 Helmet, Red",Helmets,Accessories,13.0863,Red,4,34.99,,NA,,0,S,20.994,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,2018-01-07,
222,"Sport-100 Helmet, Blue",Helmets,Accessories,13.0863,Blue,4,34.99,,NA,,0,S,20.994,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,2018-01-07,
217,"Sport-100 Helmet, Black",Helmets,Accessories,13.0863,Black,4,34.99,,NA,,0,S,20.994,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current,2018-01-07,
212,"Sport-100 Helmet, Red",Helmets,Accessories,12.0278,Red,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2016-01-07,2017-06-30
215,"Sport-100 Helmet, Black",Helmets,Accessories,12.0278,Black,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2016-01-07,2017-06-30
221,"Sport-100 Helmet, Blue",Helmets,Accessories,13.8782,Blue,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2017-01-07,2018-06-30
216,"Sport-100 Helmet, Black",Helmets,Accessories,13.8782,Black,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2017-01-07,2018-06-30
213,"Sport-100 Helmet, Red",Helmets,Accessories,13.8782,Red,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2017-01-07,2018-06-30
220,"Sport-100 Helmet, Blue",Helmets,Accessories,12.0278,Blue,4,33.6442,,NA,,0,S,20.1865,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",,2016-01-07,2017-06-30
228,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,38.4923,Multi,4,49.99,,S,,0,S,29.994,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,2018-01-07,
231,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,38.4923,Multi,4,49.99,,M,,0,S,29.994,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,2018-01-07,
234,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,38.4923,Multi,4,49.99,,L,,0,S,29.994,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,2018-01-07,
237,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,38.4923,Multi,4,49.99,,XL,,0,S,29.994,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current,2018-01-07,
491,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,41.5723,Yellow,4,53.99,,XL,,0,S,32.394,,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current,2018-01-07,
488,"Short-Sleeve Classic Jersey, S",Jerseys,Clothing,41.5723,Yellow,4,53.99,,S,,0,S,32.394,,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current,2018-01-07,
489,"Short-Sleeve Classic Jersey, M",Jerseys,Clothing,41.5723,Yellow,4,53.99,,M,,0,S,32.394,,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current,2018-01-07,
490,"Short-Sleeve Classic Jersey, L",Jerseys,Clothing,41.5723,Yellow,4,53.99,,L,,0,S,32.394,,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",Current,2018-01-07,
230,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,29.0807,Multi,4,48.0673,,M,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2017-01-07,2018-06-30
233,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,29.0807,Multi,4,48.0673,,L,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2017-01-07,2018-06-30
232,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,31.7244,Multi,4,48.0673,,L,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2016-01-07,2017-06-30
227,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,29.0807,Multi,4,48.0673,,S,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2017-01-07,2018-06-30
229,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,31.7244,Multi,4,48.0673,,M,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2016-01-07,2017-06-30
236,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,29.0807,Multi,4,48.0673,,XL,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2017-01-07,2018-06-30
235,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,31.7244,Multi,4,48.0673,,XL,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2016-01-07,2017-06-30
226,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing,31.7244,Multi,4,48.0673,,S,,0,S,28.8404,,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,,2016-01-07,2017-06-30
518,LL Road Seat/Saddle,Saddles,Components,12.0413,NA,500,27.12,,NA,,1,R,16.272,L,LL Road Seat/Saddle 1,Lightweight foam-padded saddle.,Current,2018-01-07,
515,LL Mountain Seat/Saddle,Saddles,Components,12.0413,NA,500,27.12,,NA,,1,M,16.272,L,LL Mountain Seat/Saddle 2,Synthetic leather. Features gel for increased comfort.,Current,2018-01-07,
521,LL Touring Seat/Saddle,Saddles,Components,12.0413,NA,500,27.12,,NA,,1,T,16.272,L,LL Touring Seat/Saddle,"Comfortable, ergonomically shaped gel saddle.",Current,2018-01-07,
517,HL Mountain Seat/Saddle,Saddles,Components,23.3722,NA,500,52.64,,NA,,1,M,31.584,H,HL Mountain Seat/Saddle 2,Anatomic design for a full-day of riding in comfort. Durable leather.,Current,2018-01-07,
520,HL Road Seat/Saddle,Saddles,Components,23.3722,NA,500,52.64,,NA,,1,R,31.584,H,HL Road Seat/Saddle 2,Lightweight kevlar racing saddle. Leather.,Current,2018-01-07,
523,HL Touring Seat/Saddle,Saddles,Components,23.3722,NA,500,52.64,,NA,,1,T,31.584,H,HL Touring Seat/Saddle,Cut-out shell for a more comfortable ride.,Current,2018-01-07,
516,ML Mountain Seat/Saddle,Saddles,Components,17.3782,NA,500,39.14,,NA,,1,M,23.484,M,ML Mountain Seat/Saddle 2,Designed to absorb shock.,Current,2018-01-07,
519,ML Road Seat/Saddle,Saddles,Components,17.3782,NA,500,39.14,,NA,,1,T,23.484,M,ML Road Seat/Saddle 2,Rubber bumpers absorb bumps.,Current,2018-01-07,
522,ML Touring Seat/Saddle,Saddles,Components,17.3782,NA,500,39.14,,NA,,1,T,23.484,M,ML Touring Seat/Saddle,New design relieves pressure for long rides.,Current,2018-01-07,
484,Bike Wash - Dissolver,Cleaners,Accessories,2.9733,NA,4,7.95,,NA,,0,S,4.77,,Bike Wash,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",Current,2018-01-07,
396,HL Headset,Headsets,Components,55.3801,NA,500,124.73,,NA,,1,,74.838,H,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",,2017-01-07,2018-06-30
394,LL Headset,Headsets,Components,15.1848,NA,500,34.2,,NA,,1,,20.52,L,LL Headset,Threadless headset provides quality at an economical price.,,2017-01-07,2018-06-30
395,ML Headset,Headsets,Components,45.4168,NA,500,102.29,,NA,,1,,61.374,M,ML Headset,Sealed cartridge keeps dirt out.,,2017-01-07,2018-06-30
446,"Touring-Panniers, Large",Panniers,Accessories,51.5625,Grey,4,125.0,,NA,,0,T,75.0,,Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",,2017-01-07,2018-06-30
556,LL Crankset,Cranksets,Components,77.9176,Black,500,175.49,,NA,600.0,1,,105.294,L,LL Crankset,Super rigid spindle.,Current,2018-01-07,
557,ML Crankset,Cranksets,Components,113.8816,Black,500,256.49,,NA,635.0,1,,153.894,M,ML Crankset,High-strength crank arm.,Current,2018-01-07,
558,HL Crankset,Cranksets,Components,179.8156,Black,500,404.99,,NA,575.0,1,,242.994,H,HL Crankset,Triple crankset; alumunim crank arm; flawless shifting.,Current,2018-01-07,
460,"Men's Bib-Shorts, M",Bib-Shorts,Clothing,37.1209,Multi,4,89.99,,M,,0,S,53.994,,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",,2017-01-07,2018-06-30
461,"Men's Bib-Shorts, L",Bib-Shorts,Clothing,37.1209,Multi,4,89.99,,L,,0,S,53.994,,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",,2017-01-07,2018-06-30
459,"Men's Bib-Shorts, S",Bib-Shorts,Clothing,37.1209,Multi,4,89.99,,S,,0,S,53.994,,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",,2017-01-07,2018-06-30
483,Hitch Rack - 4-Bike,Bike Racks,Accessories,44.88,NA,4,120.0,,NA,,0,S,72.0,,Hitch Rack - 4-Bike,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",Current,2018-01-07,
399,ML Mountain Handlebars,Handlebars,Components,24.9932,NA,500,56.2909,,NA,,1,M,33.7745,M,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,,2017-01-07,2018-06-30
405,ML Road Handlebars,Handlebars,Components,24.9932,NA,500,56.2909,,NA,,1,R,33.7745,M,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,,2017-01-07,2018-06-30
554,HL Touring Handlebars,Handlebars,Components,40.6571,NA,500,91.57,,NA,,1,T,54.942,H,HL Touring Handlebars,A light yet stiff aluminum bar for long distance riding.,Current,2018-01-07,
398,LL Mountain Handlebars,Handlebars,Components,19.7758,NA,500,44.54,,NA,,1,M,26.724,L,LL Mountain Handlebars,All-purpose bar for on or off-road.,Current,2018-01-07,
404,LL Road Handlebars,Handlebars,Components,19.7758,NA,500,44.54,,NA,,1,R,26.724,L,LL Road Handlebars,Unique shape provides easier reach to the levers.,Current,2018-01-07,
403,LL Road Handlebars,Handlebars,Components,17.978,NA,500,40.4909,,NA,,1,R,24.2945,L,LL Road Handlebars,Unique shape provides easier reach to the levers.,,2017-01-07,2018-06-30
397,LL Mountain Handlebars,Handlebars,Components,17.978,NA,500,40.4909,,NA,,1,M,24.2945,L,LL Mountain Handlebars,All-purpose bar for on or off-road.,,2017-01-07,2018-06-30
408,HL Road Handlebars,Handlebars,Components,53.3999,NA,500,120.27,,NA,,1,R,72.162,H,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,Current,2018-01-07,
402,HL Mountain Handlebars,Handlebars,Components,53.3999,NA,500,120.27,,NA,,1,M,72.162,H,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,Current,2018-01-07,
553,LL Touring Handlebars,Handlebars,Components,20.464,NA,500,46.09,,NA,,1,T,27.654,L,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.,Current,2018-01-07,
406,ML Road Handlebars,Handlebars,Components,27.4925,NA,500,61.92,,NA,,1,R,37.152,M,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,Current,2018-01-07,
400,ML Mountain Handlebars,Handlebars,Components,27.4925,NA,500,61.92,,NA,,1,M,37.152,M,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,Current,2018-01-07,
401,HL Mountain Handlebars,Handlebars,Components,48.5453,NA,500,109.3364,,NA,,1,M,65.6018,H,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,,2017-01-07,2018-06-30
407,HL Road Handlebars,Handlebars,Components,48.5453,NA,500,109.3364,,NA,,1,R,65.6018,H,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,,2017-01-07,2018-06-30
371,"Road-250 Red, 58",Road Bikes,Bikes,1320.6838,Red,100,2181.5625,58,54-58 CM,15.79,4,R,1308.9375,H,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",,2017-01-07,2018-06-30
377,"Road-250 Black, 52",Road Bikes,Bikes,1320.6838,Black,100,2181.5625,52,48-52 CM,15.42,4,R,1308.9375,H,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",,2017-01-07,2018-06-30
375,"Road-250 Black, 48",Road Bikes,Bikes,1320.6838,Black,100,2181.5625,48,48-52 CM,15.13,4,R,1308.9375,H,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",,2017-01-07,2018-06-30
379,"Road-250 Black, 58",Road Bikes,Bikes,1320.6838,Black,100,2181.5625,58,54-58 CM,15.68,4,R,1308.9375,H,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",,2017-01-07,2018-06-30
373,"Road-250 Black, 44",Road Bikes,Bikes,1320.6838,Black,100,2181.5625,44,42-46 CM,14.77,4,R,1308.9375,H,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",,2017-01-07,2018-06-30
383,"Road-550-W Yellow, 40",Road Bikes,Bikes,605.6492,Yellow,100,1000.4375,40,38-40 CM,17.77,4,R,600.2625,M,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",,2017-01-07,2018-06-30
389,"Road-550-W Yellow, 48",Road Bikes,Bikes,605.6492,Yellow,100,1000.4375,48,48-52 CM,18.68,4,R,600.2625,M,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",,2017-01-07,2018-06-30
385,"Road-550-W Yellow, 42",Road Bikes,Bikes,605.6492,Yellow,100,1000.4375,42,42-46 CM,18.13,4,R,600.2625,M,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",,2017-01-07,2018-06-30
387,"Road-550-W Yellow, 44",Road Bikes,Bikes,605.6492,Yellow,100,1000.4375,44,42-46 CM,18.42,4,R,600.2625,M,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",,2017-01-07,2018-06-30
